freq/Hz,Re(Z)/Ohm*cm^2,-Im(Z)/Ohm*cm^2
1.00E+05,6.60E-01,-1.61E-01
8.57E+04,6.61E-01,-1.36E-01
7.34E+04,6.62E-01,-1.15E-01
6.29E+04,6.62E-01,-9.59E-02
5.39E+04,6.63E-01,-7.99E-02
4.62E+04,6.64E-01,-6.59E-02
3.96E+04,6.66E-01,-5.37E-02
3.39E+04,6.67E-01,-4.34E-02
2.91E+04,6.67E-01,-3.44E-02
2.49E+04,6.68E-01,-2.65E-02
2.14E+04,6.70E-01,-1.99E-02
1.83E+04,6.72E-01,-1.39E-02
1.57E+04,6.73E-01,-8.17E-03
1.34E+04,6.74E-01,-3.31E-03
1.15E+04,6.76E-01,6.06E-04
9.87E+03,6.79E-01,4.85E-03
8.46E+03,6.81E-01,8.46E-03
7.25E+03,6.82E-01,1.15E-02
6.22E+03,6.84E-01,1.45E-02
5.34E+03,6.86E-01,1.77E-02
4.57E+03,6.89E-01,2.05E-02
3.91E+03,6.92E-01,2.25E-02
3.35E+03,6.94E-01,2.54E-02
2.87E+03,6.98E-01,2.78E-02
2.46E+03,7.00E-01,3.05E-02
2.11E+03,7.04E-01,3.31E-02
1.81E+03,7.07E-01,3.51E-02
1.55E+03,7.11E-01,3.77E-02
1.33E+03,7.15E-01,3.99E-02
1.14E+03,7.19E-01,4.25E-02
9.75E+02,7.22E-01,4.48E-02
8.35E+02,7.27E-01,4.76E-02
7.16E+02,7.32E-01,5.04E-02
6.14E+02,7.37E-01,5.27E-02
5.26E+02,7.42E-01,5.53E-02
4.51E+02,7.47E-01,5.80E-02
3.86E+02,7.54E-01,6.11E-02
3.31E+02,7.59E-01,6.38E-02
2.84E+02,7.66E-01,6.65E-02
2.43E+02,7.72E-01,6.91E-02
2.08E+02,7.80E-01,7.27E-02
1.78E+02,7.87E-01,7.54E-02
1.53E+02,7.95E-01,7.87E-02
1.31E+02,8.03E-01,8.10E-02
1.12E+02,8.12E-01,8.32E-02
9.63E+01,8.20E-01,8.56E-02
8.25E+01,8.30E-01,8.86E-02
7.07E+01,8.40E-01,9.00E-02
6.06E+01,8.50E-01,9.23E-02
5.19E+01,8.59E-01,9.29E-02
4.45E+01,8.71E-01,9.43E-02
3.82E+01,8.81E-01,9.45E-02
3.27E+01,8.93E-01,9.44E-02
2.80E+01,9.03E-01,9.37E-02
2.40E+01,9.14E-01,9.21E-02
2.06E+01,9.25E-01,9.10E-02
1.76E+01,9.35E-01,8.88E-02
1.51E+01,9.45E-01,8.64E-02
1.29E+01,9.55E-01,8.32E-02
1.11E+01,9.64E-01,8.00E-02
9.50E+00,9.72E-01,7.64E-02
8.16E+00,9.80E-01,7.22E-02
6.99E+00,9.88E-01,6.82E-02
5.98E+00,9.94E-01,6.34E-02
5.13E+00,1.00E+00,5.98E-02
4.40E+00,1.01E+00,5.50E-02
3.76E+00,1.01E+00,5.05E-02
3.23E+00,1.02E+00,4.72E-02
2.76E+00,1.02E+00,4.30E-02
2.37E+00,1.02E+00,3.92E-02
2.03E+00,1.03E+00,3.58E-02
1.74E+00,1.03E+00,3.22E-02
1.49E+00,1.03E+00,2.92E-02
1.28E+00,1.03E+00,2.62E-02
1.09E+00,1.03E+00,2.36E-02
9.39E-01,1.04E+00,2.10E-02
8.05E-01,1.04E+00,1.87E-02
6.89E-01,1.04E+00,1.68E-02
5.91E-01,1.04E+00,1.49E-02
5.06E-01,1.04E+00,1.33E-02
4.34E-01,1.04E+00,1.18E-02
3.72E-01,1.04E+00,1.06E-02
3.18E-01,1.04E+00,9.23E-03
2.73E-01,1.04E+00,8.17E-03
2.34E-01,1.04E+00,7.28E-03
2.01E-01,1.04E+00,6.47E-03
1.72E-01,1.04E+00,5.63E-03
1.47E-01,1.04E+00,4.96E-03
1.26E-01,1.04E+00,4.37E-03
1.08E-01,1.04E+00,4.06E-03
9.28E-02,1.04E+00,3.51E-03
7.94E-02,1.04E+00,2.99E-03
6.81E-02,1.04E+00,2.62E-03
5.84E-02,1.04E+00,2.28E-03
5.00E-02,1.04E+00,1.99E-03
